episode,agent,total_reward,steps,result
1,random,-5.0,1786,loss
2,random,17.0,1786,win
3,random,5.0,1786,win
4,random,3.0,1786,win
5,random,1.0,1786,win
6,random,1.0,1786,win
7,random,-3.0,1786,loss
8,random,9.0,1786,win
9,random,-2.0,1786,loss
10,random,7.0,1786,win
11,random,0.0,1786,draw
12,random,3.0,1786,win
13,random,0.0,1786,draw
14,random,3.0,1786,win
15,random,7.0,1786,win
16,random,-1.0,1786,loss
17,random,-3.0,1786,loss
18,random,-1.0,1786,loss
19,random,-1.0,1786,loss
20,random,-3.0,1786,loss
21,random,1.0,1786,win
22,random,2.0,1786,win
23,random,2.0,1786,win
24,random,-9.0,1786,loss
25,random,-5.0,1786,loss
26,random,-22.0,1786,loss
27,random,4.0,1786,win
28,random,8.0,1786,win
29,random,-14.0,1786,loss
30,random,-1.0,1786,loss
31,random,-4.0,1786,loss
32,random,1.0,1786,win
33,random,10.0,1786,win
34,random,-6.0,1786,loss
35,random,9.0,1786,win
36,random,-10.0,1786,loss
37,random,-15.0,1786,loss
38,random,6.0,1786,win
39,random,-7.0,1786,loss
40,random,2.0,1786,win
41,random,8.0,1786,win
42,random,4.0,1786,win
43,random,-1.0,1786,loss
44,random,-2.0,1786,loss
45,random,-1.0,1786,loss
46,random,-9.0,1786,loss
47,random,-8.0,1786,loss
48,random,-1.0,1786,loss
49,random,7.0,1786,win
50,random,-1.0,1786,loss
